PMID	row_count	min_ensure_id	max_ensure_id	year	journal	title	doi	pmcid	status	pubmed_url	doi_url	pmc_html	pmc_xml	pmc_pdf	supplementary_downloaded	supplementary_attempted	missing_pdbid	missing_origin_secondary_structure	missing_sup_secondary_structure	missing_origin_sequence	missing_sup_sequence	manual_reasons
1344892	2			1992	The Plant journal : for cell and molecular biology	Construction and expression of nonsense suppressor tRNAs which function in plant cells.	10.1046/j.1365-313x.1992.t01-27-00999.x		manual_required	https://pubmed.ncbi.nlm.nih.gov/1344892/	https://doi.org/10.1046/j.1365-313x.1992.t01-27-00999.x				0	0	0	0	0	0	0	No PMCID in PubMed metadata; full text and supplements may require publisher access. | DOI landing page download failed: HTTP 403: Forbidden
2096017	3			1990	Developmental genetics	Nonsense suppression in Dictyostelium discoideum.	10.1002/dvg.1020110514		manual_required	https://pubmed.ncbi.nlm.nih.gov/2096017/	https://doi.org/10.1002/dvg.1020110514				0	0	0	0	0	0	0	No PMCID in PubMed metadata; full text and supplements may require publisher access. | DOI landing page download failed: HTTP 403: Forbidden
2193162	1			1990	Journal of molecular biology	Construction of Escherichia coli amber suppressor tRNA genes. II. Synthesis of additional tRNA genes and improvement of suppressor efficiency.	10.1016/S0022-2836(05)80257-8		doi_landing_only	https://pubmed.ncbi.nlm.nih.gov/2193162/	https://doi.org/10.1016/S0022-2836(05)80257-8				0	0	0	0	0	0	0	No PMCID in PubMed metadata; full text and supplements may require publisher access.
2251270	17			1990	Proceedings of the National Academy of Sciences of the United States of America	Nucleotides that determine Escherichia coli tRNA(Arg) and tRNA(Lys) acceptor identities revealed by analyses of mutant opal and amber suppressor tRNAs.	10.1073/pnas.87.23.9260	PMC55144	pmc_downloaded	https://pubmed.ncbi.nlm.nih.gov/2251270/	https://doi.org/10.1073/pnas.87.23.9260	field-curation-workdir/full_tRNAtherapeutics/papers/2251270/2251270_PMC55144.html	field-curation-workdir/full_tRNAtherapeutics/papers/2251270/2251270_PMC55144.xml		0	0	0	0	0	0	0	DOI landing page download failed: HTTP 403: Forbidden | No supplementary links were discovered automatically on the PMC page/XML.
2602139	3			1989	Nucleic acids research	The use of 5'-phospho-2 deoxyribocytidylylriboadenosine as a facile route to chemical aminoacylation of tRNA.	10.1093/nar/17.23.9649	PMC335204	pmc_downloaded	https://pubmed.ncbi.nlm.nih.gov/2602139/	https://doi.org/10.1093/nar/17.23.9649	field-curation-workdir/full_tRNAtherapeutics/papers/2602139/2602139_PMC335204.html	field-curation-workdir/full_tRNAtherapeutics/papers/2602139/2602139_PMC335204.xml		0	0	0	3	3	3	3	DOI landing page download failed: HTTP 403: Forbidden | No supplementary links were discovered automatically on the PMC page/XML.
2990894	2			1985	The EMBO journal	Amber, ochre and opal suppressor tRNA genes derived from a human serine tRNA gene.	10.1002/j.1460-2075.1985.tb02338.x	PMC554172	pmc_downloaded	https://pubmed.ncbi.nlm.nih.gov/2990894/	https://doi.org/10.1002/j.1460-2075.1985.tb02338.x	field-curation-workdir/full_tRNAtherapeutics/papers/2990894/2990894_PMC554172.html	field-curation-workdir/full_tRNAtherapeutics/papers/2990894/2990894_PMC554172.xml		0	0	0	0	0	0	0	No supplementary links were discovered automatically on the PMC page/XML.
3045821	6			1988	Proceedings of the National Academy of Sciences of the United States of America	Discrimination between glutaminyl-tRNA synthetase and seryl-tRNA synthetase involves nucleotides in the acceptor helix of tRNA.	10.1073/pnas.85.18.6627	PMC282030	pmc_downloaded	https://pubmed.ncbi.nlm.nih.gov/3045821/	https://doi.org/10.1073/pnas.85.18.6627	field-curation-workdir/full_tRNAtherapeutics/papers/3045821/3045821_PMC282030.html	field-curation-workdir/full_tRNAtherapeutics/papers/3045821/3045821_PMC282030.xml		0	0	0	0	0	0	0	DOI landing page download failed: HTTP 403: Forbidden | No supplementary links were discovered automatically on the PMC page/XML.
3532123	14			1986	Proceedings of the National Academy of Sciences of the United States of America	Functional complementation between mutations in a yeast suppressor tRNA gene reveals potential for evolution of tRNA sequences.	10.1073/pnas.83.20.7860	PMC386822	pmc_downloaded	https://pubmed.ncbi.nlm.nih.gov/3532123/	https://doi.org/10.1073/pnas.83.20.7860	field-curation-workdir/full_tRNAtherapeutics/papers/3532123/3532123_PMC386822.html	field-curation-workdir/full_tRNAtherapeutics/papers/3532123/3532123_PMC386822.xml		0	0	0	0	0	0	0	DOI landing page download failed: HTTP 403: Forbidden | No supplementary links were discovered automatically on the PMC page/XML.
6254058	2			1980	Proceedings of the National Academy of Sciences of the United States of America	Construction of a composite tRNA gene by anticodon loop transplant.	10.1073/pnas.77.9.5092	PMC350002	pmc_downloaded	https://pubmed.ncbi.nlm.nih.gov/6254058/	https://doi.org/10.1073/pnas.77.9.5092	field-curation-workdir/full_tRNAtherapeutics/papers/6254058/6254058_PMC350002.html	field-curation-workdir/full_tRNAtherapeutics/papers/6254058/6254058_PMC350002.xml		0	0	0	0	0	0	0	DOI landing page download failed: HTTP 403: Forbidden | No supplementary links were discovered automatically on the PMC page/XML.
6308765	3			1983	Science (New York, N.Y.)	Measurement of suppressor transfer RNA activity.	10.1126/science.6308765		manual_required	https://pubmed.ncbi.nlm.nih.gov/6308765/	https://doi.org/10.1126/science.6308765				0	0	0	0	0	0	0	No PMCID in PubMed metadata; full text and supplements may require publisher access. | DOI landing page download failed: HTTP 403: Forbidden
6310546	2			1982	Proceedings of the National Academy of Sciences of the United States of America	An amber suppressor tRNA gene derived by site-specific mutagenesis: cloning and function in mammalian cells.	10.1073/pnas.79.19.5813	PMC347000	pmc_downloaded	https://pubmed.ncbi.nlm.nih.gov/6310546/	https://doi.org/10.1073/pnas.79.19.5813	field-curation-workdir/full_tRNAtherapeutics/papers/6310546/6310546_PMC347000.html	field-curation-workdir/full_tRNAtherapeutics/papers/6310546/6310546_PMC347000.xml		0	0	0	0	0	0	0	DOI landing page download failed: HTTP 403: Forbidden | No supplementary links were discovered automatically on the PMC page/XML.
6363071	1			1984	European journal of biochemistry	Construction of a UGA suppressor tRNA by modification in vitro of yeast tRNACys.	10.1111/j.1432-1033.1984.tb07883.x		manual_required	https://pubmed.ncbi.nlm.nih.gov/6363071/	https://doi.org/10.1111/j.1432-1033.1984.tb07883.x				0	0	0	1	1	1	1	No PMCID in PubMed metadata; full text and supplements may require publisher access. | DOI landing page download failed: HTTP 403: Forbidden
