PMID	filename	bytes	path
19378306	NIHMS146422-supplement-Supplemental_Information.pdf	1816	field-curation-workdir/full_tRNAtherapeutics/supplementary/19378306/NIHMS146422-supplement-Supplemental_Information.pdf
19378306	anie200900683-sup-0001-misc_information.pdf	5782	field-curation-workdir/full_tRNAtherapeutics/supplementary/19378306/anie200900683-sup-0001-misc_information.pdf
20571084	supp_38_19_6813__index.html	722	field-curation-workdir/full_tRNAtherapeutics/supplementary/20571084/supp_38_19_6813__index.html
20571084	supp_gkq521_Supplementary_Materials_Post_Peer_Review_052010_RHedit.doc	2407424	field-curation-workdir/full_tRNAtherapeutics/supplementary/20571084/supp_gkq521_Supplementary_Materials_Post_Peer_Review_052010_RHedit.doc
23379331	NIHMS507917-supplement-SI.pdf	1817	field-curation-workdir/full_tRNAtherapeutics/supplementary/23379331/NIHMS507917-supplement-SI.pdf
23379331	bi4000244_si_001.pdf	5537	field-curation-workdir/full_tRNAtherapeutics/supplementary/23379331/bi4000244_si_001.pdf
24386240	pone.0083630.s001	18402	field-curation-workdir/full_tRNAtherapeutics/supplementary/24386240/pone.0083630.s001
24386240	pone.0083630.s001.headers	2118	field-curation-workdir/full_tRNAtherapeutics/supplementary/24386240/pone.0083630.s001.headers
24386240	pone.0083630.s003	70212	field-curation-workdir/full_tRNAtherapeutics/supplementary/24386240/pone.0083630.s003
24386240	pone.0083630.s003.headers	2125	field-curation-workdir/full_tRNAtherapeutics/supplementary/24386240/pone.0083630.s003.headers
24386240	pone.0083630.s004	16771	field-curation-workdir/full_tRNAtherapeutics/supplementary/24386240/pone.0083630.s004
24386240	pone.0083630.s004.headers	2152	field-curation-workdir/full_tRNAtherapeutics/supplementary/24386240/pone.0083630.s004.headers
28076288	gkw898_Supp.zip	2837774	field-curation-workdir/full_tRNAtherapeutics/supplementary/28076288/gkw898_Supp.zip
29155943	gkx1129_supp.zip	3797637	field-curation-workdir/full_tRNAtherapeutics/supplementary/29155943/gkx1129_supp.zip
30778053	41467_2019_8329_MOESM1_ESM.pdf	5160805	field-curation-workdir/full_tRNAtherapeutics/supplementary/30778053/41467_2019_8329_MOESM1_ESM.pdf
30778053	41467_2019_8329_MOESM2_ESM.pdf	85237	field-curation-workdir/full_tRNAtherapeutics/supplementary/30778053/41467_2019_8329_MOESM2_ESM.pdf
30778053	41467_2019_8329_MOESM3_ESM.pdf	55774	field-curation-workdir/full_tRNAtherapeutics/supplementary/30778053/41467_2019_8329_MOESM3_ESM.pdf
30778053	41467_2019_8329_MOESM4_ESM.xlsx	417426	field-curation-workdir/full_tRNAtherapeutics/supplementary/30778053/41467_2019_8329_MOESM4_ESM.xlsx
30778053	41467_2019_8329_MOESM5_ESM.xlsx	34742	field-curation-workdir/full_tRNAtherapeutics/supplementary/30778053/41467_2019_8329_MOESM5_ESM.xlsx
30778053	41467_2019_8329_MOESM6_ESM.pdf	125250	field-curation-workdir/full_tRNAtherapeutics/supplementary/30778053/41467_2019_8329_MOESM6_ESM.pdf
31346230	41598_2019_47268_MOESM1_ESM.docx	14284552	field-curation-workdir/full_tRNAtherapeutics/supplementary/31346230/41598_2019_47268_MOESM1_ESM.docx
34158503	41467_2021_24076_MOESM1_ESM.pdf	3458868	field-curation-workdir/full_tRNAtherapeutics/supplementary/34158503/41467_2021_24076_MOESM1_ESM.pdf
34158503	41467_2021_24076_MOESM2_ESM.pdf	285339	field-curation-workdir/full_tRNAtherapeutics/supplementary/34158503/41467_2021_24076_MOESM2_ESM.pdf
34158503	41467_2021_24076_MOESM3_ESM.pdf	1926911	field-curation-workdir/full_tRNAtherapeutics/supplementary/34158503/41467_2021_24076_MOESM3_ESM.pdf
34158503	41467_2021_24076_MOESM4_ESM.xlsx	15259699	field-curation-workdir/full_tRNAtherapeutics/supplementary/34158503/41467_2021_24076_MOESM4_ESM.xlsx
37258671	41586_2023_6133_MOESM1_ESM.pdf	642535	field-curation-workdir/full_tRNAtherapeutics/supplementary/37258671/41586_2023_6133_MOESM1_ESM.pdf
37258671	41586_2023_6133_MOESM2_ESM.pdf	2674440	field-curation-workdir/full_tRNAtherapeutics/supplementary/37258671/41586_2023_6133_MOESM2_ESM.pdf
37258671	41586_2023_6133_MOESM3_ESM.pdf	884467	field-curation-workdir/full_tRNAtherapeutics/supplementary/37258671/41586_2023_6133_MOESM3_ESM.pdf
37258671	41586_2023_6133_MOESM4_ESM.xlsx	17507	field-curation-workdir/full_tRNAtherapeutics/supplementary/37258671/41586_2023_6133_MOESM4_ESM.xlsx
37258671	41586_2023_6133_MOESM5_ESM.xlsx	16750	field-curation-workdir/full_tRNAtherapeutics/supplementary/37258671/41586_2023_6133_MOESM5_ESM.xlsx
37258671	41586_2023_6133_MOESM6_ESM.xlsx	202042	field-curation-workdir/full_tRNAtherapeutics/supplementary/37258671/41586_2023_6133_MOESM6_ESM.xlsx
37258671	41586_2023_6133_MOESM7_ESM.xlsx	20296	field-curation-workdir/full_tRNAtherapeutics/supplementary/37258671/41586_2023_6133_MOESM7_ESM.xlsx
37258671	41586_2023_6133_MOESM8_ESM.xlsx	180847	field-curation-workdir/full_tRNAtherapeutics/supplementary/37258671/41586_2023_6133_MOESM8_ESM.xlsx
38042487	mmc1.docx	557083	field-curation-workdir/full_tRNAtherapeutics/supplementary/38042487/mmc1.docx
38580646	41467_2024_47258_MOESM1_ESM.pdf	856767	field-curation-workdir/full_tRNAtherapeutics/supplementary/38580646/41467_2024_47258_MOESM1_ESM.pdf
38580646	41467_2024_47258_MOESM2_ESM.pdf	282593	field-curation-workdir/full_tRNAtherapeutics/supplementary/38580646/41467_2024_47258_MOESM2_ESM.pdf
38580646	41467_2024_47258_MOESM3_ESM.pdf	2187241	field-curation-workdir/full_tRNAtherapeutics/supplementary/38580646/41467_2024_47258_MOESM3_ESM.pdf
38580646	41467_2024_47258_MOESM4_ESM.xlsx	660353	field-curation-workdir/full_tRNAtherapeutics/supplementary/38580646/41467_2024_47258_MOESM4_ESM.xlsx
39558163	gkae1048_supplemental_file.docx	6678645	field-curation-workdir/full_tRNAtherapeutics/supplementary/39558163/gkae1048_supplemental_file.docx
40491751	mmc1.pdf	3576925	field-curation-workdir/full_tRNAtherapeutics/supplementary/40491751/mmc1.pdf
40539513	gkaf532_supplemental_file.pdf	765497	field-curation-workdir/full_tRNAtherapeutics/supplementary/40539513/gkaf532_supplemental_file.pdf
40650978	gkaf675_supplemental_file.pdf	9707954	field-curation-workdir/full_tRNAtherapeutics/supplementary/40650978/gkaf675_supplemental_file.pdf
41261131	41586_2025_9732_MOESM10_ESM.xlsx	12070	field-curation-workdir/full_tRNAtherapeutics/supplementary/41261131/41586_2025_9732_MOESM10_ESM.xlsx
41261131	41586_2025_9732_MOESM11_ESM.xlsx	20397153	field-curation-workdir/full_tRNAtherapeutics/supplementary/41261131/41586_2025_9732_MOESM11_ESM.xlsx
41261131	41586_2025_9732_MOESM12_ESM.xlsx	14345948	field-curation-workdir/full_tRNAtherapeutics/supplementary/41261131/41586_2025_9732_MOESM12_ESM.xlsx
41261131	41586_2025_9732_MOESM13_ESM.xlsx	5203180	field-curation-workdir/full_tRNAtherapeutics/supplementary/41261131/41586_2025_9732_MOESM13_ESM.xlsx
41261131	41586_2025_9732_MOESM14_ESM.xlsx	1275243	field-curation-workdir/full_tRNAtherapeutics/supplementary/41261131/41586_2025_9732_MOESM14_ESM.xlsx
41261131	41586_2025_9732_MOESM15_ESM.xlsx	30692732	field-curation-workdir/full_tRNAtherapeutics/supplementary/41261131/41586_2025_9732_MOESM15_ESM.xlsx
41261131	41586_2025_9732_MOESM16_ESM.xlsx	1991713	field-curation-workdir/full_tRNAtherapeutics/supplementary/41261131/41586_2025_9732_MOESM16_ESM.xlsx
41261131	41586_2025_9732_MOESM17_ESM.xlsx	4935935	field-curation-workdir/full_tRNAtherapeutics/supplementary/41261131/41586_2025_9732_MOESM17_ESM.xlsx
41261131	41586_2025_9732_MOESM18_ESM.xlsx	10086	field-curation-workdir/full_tRNAtherapeutics/supplementary/41261131/41586_2025_9732_MOESM18_ESM.xlsx
41261131	41586_2025_9732_MOESM19_ESM.xlsx	28652935	field-curation-workdir/full_tRNAtherapeutics/supplementary/41261131/41586_2025_9732_MOESM19_ESM.xlsx
41261131	41586_2025_9732_MOESM1_ESM.pdf	15090090	field-curation-workdir/full_tRNAtherapeutics/supplementary/41261131/41586_2025_9732_MOESM1_ESM.pdf
41261131	41586_2025_9732_MOESM20_ESM.xlsx	10856	field-curation-workdir/full_tRNAtherapeutics/supplementary/41261131/41586_2025_9732_MOESM20_ESM.xlsx
41261131	41586_2025_9732_MOESM2_ESM.pdf	2319559	field-curation-workdir/full_tRNAtherapeutics/supplementary/41261131/41586_2025_9732_MOESM2_ESM.pdf
41261131	41586_2025_9732_MOESM3_ESM.xlsx	201322	field-curation-workdir/full_tRNAtherapeutics/supplementary/41261131/41586_2025_9732_MOESM3_ESM.xlsx
