tRNA特征,功能,细胞,参考文献
G19-C56,remarkable part of the tertiary structure and important for interaction with other RNAs and proteins,,26771646,
 lacking both D- and T-arm,such a tRNAAsp in yeast can be aminoacylated, tRNAAsp from yeast,10508395,
s2Um or m22Gm,only found in archaea,archaea,,
"tRNAIle contained the anti-coden(C-A-U), which was generally the anti-codon of tRNAMet",highly conserved in cp tRNAs of Gossypium L,Gossypium L.,34071968,
 A(+)-C base-pair ,reduces the size of the normal 7 nucleotide anticodon loop to 5 nucleotides and induces a change in the loop backbone conformation,,9478205,
 long variable arm composed of over ten nucleotides,"stem-length-specifically, but not sequence-specifically, important for recognition",E.coli,8114091,
introns,"All the intronless strains were viable, but the tRNAPheGAA and tRNATyrGUA intronless strains displayed slow growth and help with psi34 synthesis",Saccharomyces cerevisiae,30997502,
m1I37 in tRNAAla and m1I57,m1I is found exclusively at position 37 (3' adjacent to the anticodon) of eukaryotic tRNA(Ala) and at position 57 (in the middle of the psi loop) of several tRNAs from halophilic and thermophilic archaebacteria.,eukaryotic,8915538,
 tRNAAsn and tRNAGln contained a conserved U1 nucleotide while others contain G 1st,,cyanobacterial ,29321793,
C28:U42 in tRNACys (GCA) mismatch in the anticodon stem,,potato mt,11732609,
D in D loop,使 C3'-内型核糖构象不稳定，增加了 tRNA 三级结构的灵活性,E.coli,23908023,
U33 and nm5s2U34-U35 in tRNAGln,作为进一步甲基化酶MnmM的关键识别位点,Bacillus subtilis,36762482,
57位去甲基化 in tRNAGlu(CTC),推动了相关5'tRFs的产生,airway epithelial cells,36680097,
C31:G39 in tRNAArg(CCG),tRNA前体正确折叠，以及成熟tRNA产生的节点,酿酒细胞,16581807,
G37 to A in tRNASep,增强了UGA的阻抑效应,E.Coli,26350500,
GUUCAm1 AAUC (m1A is 1-methyladenosine) at position 53–61 of tRNA along with a stable acceptor stem in tRNALys3,人类细胞中，作为pus10酶形成ψ54的关键识别位点信息,SF9 cells,30530625,
3'端 of pre-tRNAIle(UAU) and pre-tRNATyr,在应激条件下，会产生不同的末端，如单C，CC或者完整的CCA,酵母细胞,26729922,
base32-base38,不应该作为互补碱基，不然会导致与密码子配对的发密码子构象不太理想，可能会被核糖体解码位点拒绝,E.Coli,27448410,
U13 in tRNAGln,作为PUS7的特异性底物，结构上符合PUS7的修饰域,293,34718722,,
G35 -U 36-t 6 A37 in tRNAThr,作为m3C32修饰酶Trm140的特异性识别序列,yeast Saccharomyces cerevisiae,28003514,,
"V-loop, as well as by t6 A 37 and i 6 A37 in tRNASer",作为m3C32修饰酶Trm141的特异性识别序列,yeast Saccharomyces cerevisiae,28003514,,
"m1A58 correlate with m1G37/m1I37 in tRNALeu(AAG, TAA, CAA,), tRNAPro(TGG), tRNAHis(GTG), tRNASer(TGA), tRNAArg(CCG, ACG, TCG)",修饰添加过程中的特征过程,HEK293T,36537222,,
